1 :	язва яства яранга яруга ярыга яга ябеда ягода 
2 :	ююба юнга 
3 :	электробритва эва эклога электротяга эксцентриада эстакада эстокада эскалада эспланада эскапада эспада эстрада эгида эвменида эпициклоида эпитрохоида эфемерида эмфаза экзегеза эпентеза экспертиза 
7 :	щеколда 
8 :	шайба шуба шалава шпага шишига штанга шеренга шуга шаромыга шаньга шелюга шарада шаланда шлёнда шкода шимоза штокроза -ка 
9 :	чащоба чищоба чернева черва чага чилига чомга чапыга чиляга чертяга череда чреда чехарда чумиза 
10 :	цанга цинга центрифуга цикада циклоида целлюлоза 
11 :	худоба хвороба ходьба халва холява хапуга хитрюга хламидомонада хризалида хламида халда хода хорда хурда-мурда хурда ходжа ханжа 
12 :	фотобумага фига фаланга фрамуга фуга фольга фор-стеньга фелюга фляга фанфаронада фарада фалда фронда фраза фаза фреза фанза фруктоза фордыбака 
13 :	учёба утроба улыба усадьба управа услуга универсиада услада узда угода уда угроза уза 
14 :	треба тяжба триба тумба трущоба торба труба туба татьба трава трын-трава тернослива тетива тыква татарва телега тайга таволга тамга тревога тренога тога торопыга тварюга трудяга тяга триада тамада тампонада тирада тогда торпеда тангенсоида трохоида туда тильда туда-сюда торбаза турбаза трапеза теза тубероза тропопауза 
15 :	служба сдоба стыдоба скоба стереотруба свадьба судьба стрельба селитьба слава справа сон-трава слева синева слива саква смоква сорвиголова сызнова снова сова сизифова сперва стерва средства сызмальства салага сулага сага слега стега свербига сайга сёмга селенга стренга синагога судорога сорога слуга супруга сквалыга стеньга синьга серьга севрюга скупердяга сердяга стиляга сермяга сотняга скряга супряга симпатяга сутяга спартакиада смлада серенада страда скареда середа среда спецодежда синусоида смарида ставрида сильфида сайда сарабанда субаренда соаренда секунда свобода слобода сковорода скорода сморода сода скирда ссуда слюда сюда стража сажа саджа сежа сторожа спаржа саржа суржа стужа сабза слеза стервоза скабиоза стрекоза сахароза сцифомедуза сём-ка собака служака салака 
16 :	раба ройба румба роба рыба ремень-рыба резьба расправа разрыв-трава растрава рёва разжива расшива раззява розга рига расстрига разнога рога радуга руга развалюга работяга рокада рулада робинзонада рампада рада ретирада рассада резеда радиозвезда ротонда рында реборда руда распродажа раджа ронжа рогожа рожа ржа реобаза ремиза риза реприза ругоза раффиноза роза рубака 
17 :	полнеба потреба планшайба полба пломба проба пагуба палуба пила-рыба похвальба пальба просьба пастьба пахлава пава переправа приправа плакун-трава притрава потрава протрава погранзастава подстава полудева плева понёва пожива подлива полива прерогатива перспектива подкова полова полслова подоснова первооснова прорва плотва паства почва подпочва пришва подошва прошва полшага прожига пинанга подмога пирога путь-дорога перга пурга падуга прислуга подруга полкруга подпруга приструга потуга пичуга пьянчуга прощелыга пустельга подлюга парнюга побродяга парняга передряга присяга привада прохлада помада преграда пощада правда победа привереда прозодежда пеламида пирамида планида пластида панихида пройда пропаганда панда подвода пагода полгода погода природа полгорода порода петарда покуда прокуда паскуда полуда подпруда посуда простуда причуда плеяда продажа перепродажа поклажа пропажа покража паранджа полулёжа пряжа предпряжа по-за плавбаза пионербаза проказа подлаза пролаза парафраза перифраза профаза пьеза подлиза пемза поза проза параморфоза псевдоморфоза пауза польза подхалюза 
18 :	оба особа облава орава оправа отрава октава отава олива обнова основа ошва отвага омега облога острога округа ореада олимпиада ограда отрада осада одежда обида ода орда откуда остуда оттуда отсюда обжа одёжа огорожа обуза 
19 :	надолба нажива нива ночва навага нега недолга нога недотрога нуга натуга награда надсада неправда навсегда некогда никогда надоеда ногтоеда непоседа невежда надежда нужда нереида несвобода невзгода непогода невыгода некуда никуда неоткуда ниоткуда нуда наяда невежа надёжа нефтебаза нитроза на-ка нате-ка ну-ка нашармака 
